,City,Country,Cloudiness,Humidity,Lat,Lng,Max Temperature,Wind Speed
139,Lázaro Cárdenas,MX,0,76,17.9583,-102.2,75.0,3.96
140,Port-Gentil,GA,100,81,-0.7193,8.7815,81.25,3.98
141,Alugan,PH,29,84,12.2188,125.4808,80.85,12.88
142,Azul,AR,0,64,-36.777,-59.8585,54.93,8.01
143,Birao,CF,15,21,10.2849,22.7882,73.71,3.78
144,Bengkulu,ID,81,67,-3.8004,102.2655,83.35,3.69
145,Boyuibe,BO,97,91,-20.4167,-63.2833,70.39,2.06
146,Vao,NC,67,78,-22.6667,167.4833,79.72,16.87
147,Guymon,US,2,11,36.6828,-101.4816,50.02,8.79
148,Hammond,US,100,79,41.5834,-87.5,43.09,16.11
149,Oddur,SO,1,75,4.1213,43.8894,70.63,15.12
150,Burnie,AU,38,69,-41.0667,145.9167,72.95,12.73
151,Manta,EC,75,83,-0.95,-80.7333,80.38,4.61
152,Haines Junction,CA,92,63,60.7522,-137.5108,24.75,1.14
153,Kamenka,RU,100,98,51.3223,42.7678,28.74,6.33
154,Koumac,NC,100,65,-20.5667,164.2833,84.07,6.15
155,Hong Kong,HK,64,79,22.2855,114.1577,69.85,18.99
156,Kruisfontein,ZA,0,77,-34.0033,24.7314,61.88,5.77
157,Caravelas,BR,100,90,-17.7125,-39.2481,76.1,3.33
158,Puerto Ayora,EC,60,93,-0.7393,-90.3518,77.56,1.01
159,Sittwe,MM,5,30,20.15,92.9,77.2,7.52
160,Grindavik,IS,75,87,63.8424,-22.4338,37.35,16.11
161,Marrakesh,MA,0,66,31.6315,-8.0083,50.07,2.3
162,Rivers,CA,99,95,50.0308,-100.2403,-9.13,5.73
163,Qaanaaq,GL,0,55,77.484,-69.3632,6.58,7.31
164,Griffith,US,100,80,41.5284,-87.4237,43.0,5.01
165,Warah,PK,0,63,27.4481,67.7978,62.33,2.68
166,Bethel,US,82,72,41.3712,-73.414,40.3,3.98
167,Altar,MX,99,18,30.7,-111.8167,70.41,6.67
168,Vila Velha,BR,20,88,-20.3297,-40.2925,78.75,5.75
169,Barentu,ER,6,56,15.1139,37.5928,72.37,4.88
170,Cidreira,BR,11,95,-30.1811,-50.2056,74.28,5.84
171,Acajutla,SV,0,64,13.5928,-89.8275,81.81,8.34
172,Mahajanga,MG,81,87,-15.7167,46.3167,77.18,4.63
173,Yar-Sale,RU,100,97,66.8333,70.8333,5.95,9.42
174,Fortuna,US,100,93,40.5982,-124.1573,56.48,5.75
175,Klamath Falls,US,100,41,42.2249,-121.7817,51.87,4.0
176,Bathsheba,BB,12,83,13.2167,-59.5167,77.94,16.71
177,Kirakira,SB,99,78,-10.4544,161.9205,82.29,3.78
178,Ponta do Sol,PT,31,81,32.6667,-17.1,65.07,3.96
179,Suoyarvi,RU,100,97,62.0833,32.35,25.38,5.39
180,Nemuro,JP,97,78,43.3236,145.575,31.69,13.4
181,Upington,ZA,1,29,-28.4478,21.2561,68.09,2.91
182,Alikalia,SL,88,81,9.1667,-11.4,68.76,2.95
183,Lahaina,US,0,81,20.8783,-156.6825,78.94,3.87
184,Constitución,CL,50,93,-35.3333,-72.4167,59.61,6.33
185,Kiama,AU,88,93,-34.6833,150.8667,75.58,1.01
186,Sabzawār,IR,41,47,36.2126,57.6819,52.05,3.4
187,Zliten,LY,2,69,32.4674,14.5687,50.49,9.78
188,Saint Paul Harbor,US,100,93,57.79,-152.4072,36.91,4.61
189,Esperance,AU,79,55,-33.8667,121.9,65.08,18.95
190,Upernavik,GL,100,89,72.7868,-56.1549,-3.96,8.14
191,Bluff,NZ,89,71,-46.6,168.3333,66.79,4.65
192,Riyadh,SA,24,28,24.6877,46.7219,67.6,10.13
193,Clyde River,CA,100,85,70.4692,-68.5914,3.43,40.29
194,Puerto Peñasco,MX,100,43,31.3167,-113.5333,67.91,5.37
195,La Asuncion,VE,5,100,11.0333,-63.8628,67.73,14.97
196,Kuusamo,FI,75,86,65.9667,29.1833,28.44,11.5
197,Alta Floresta,BR,100,96,-9.8756,-56.0861,71.87,2.62
198,Rio Grande,BR,0,89,-32.035,-52.0986,71.71,7.76
199,Mar del Plata,AR,0,74,-38.0023,-57.5575,60.87,1.99
200,Funadhoo,MV,75,57,6.15,73.2667,82.51,7.81
201,Itimādpur,IN,3,42,27.25,78.2,67.06,4.88
202,Renfrew,GB,100,86,55.872,-4.3925,46.44,11.5
203,Baltiysk,RU,5,86,54.6538,19.911,35.58,7.31
204,Rørvik,NO,100,66,64.8621,11.2373,39.33,8.68
205,Iqaluit,CA,100,70,63.7506,-68.5145,-5.31,17.0
206,Mossamedes,AO,74,82,-15.1961,12.1522,74.23,5.08
207,Chestermere,CA,100,91,51.0334,-113.8187,22.91,10.36
208,Zambezi,ZM,98,97,-13.5432,23.1047,63.5,3.91
209,Souillac,MU,54,86,-20.5167,57.5167,78.37,14.52
210,Kapit,MY,93,63,2.0167,112.9333,87.91,1.72
211,Kumul,CN,66,27,42.8,93.45,41.04,0.63
212,Carauari,BR,100,95,-4.8828,-66.8958,72.14,0.98
213,Kununurra,AU,40,58,-15.7667,128.7333,91.38,8.05
214,Wajima,JP,47,73,37.4,136.9,43.92,21.14
215,Halifax,CA,71,75,44.6453,-63.5724,28.09,5.99
216,Torbay,CA,100,92,47.6666,-52.7314,32.29,27.63
217,Port Elizabeth,ZA,0,81,-33.918,25.5701,64.09,6.96
218,Bad Bentheim,DE,5,64,52.3167,7.1667,35.58,7.23
219,Marsá Maţrūḩ,EG,39,61,31.3525,27.2453,55.22,27.07
220,Harper,LR,73,90,4.375,-7.7169,75.9,7.25
221,Lüderitz,NA,0,91,-26.6481,15.1594,63.48,5.35
222,Yārāda,IN,40,83,17.65,83.2667,77.32,2.3
223,Krasnyy Chikoy,RU,100,76,50.3643,108.7512,21.2,10.94
224,Comodoro Rivadavia,AR,8,48,-45.8667,-67.5,69.73,25.34
225,The Pas,CA,10,98,53.8251,-101.2541,-5.28,7.54
226,Aubenas,FR,44,90,44.6201,4.3899,44.47,4.36
227,Auki,SB,99,82,-8.7676,160.7034,82.24,3.11
228,Mariehamn,AX,0,80,60.0973,19.9348,35.46,8.05
229,Lima,PE,100,72,-12.0432,-77.0282,70.39,4.14
230,Andros Town,BS,0,62,24.7,-77.7667,73.71,10.63
231,Bac Lieu,VN,100,62,9.285,105.7244,84.6,18.79
232,Kahului,US,4,80,20.8947,-156.47,78.96,1.99
233,Cockburn Town,TC,6,76,21.4612,-71.1419,78.31,13.24
234,Pisco,PE,100,84,-13.7,-76.2167,70.02,1.01
235,Inta,RU,100,96,66.0317,60.1659,29.32,20.8
236,Chernyshevskiy,RU,100,91,63.0128,112.4714,8.71,6.55
237,Tandaltī,SD,5,31,13.0167,31.8667,77.59,9.71
238,Hamilton,US,94,52,39.1834,-84.5333,60.49,7.9
239,Leningradskiy,RU,96,97,69.3833,178.4167,0.07,5.93
240,Ishigaki,JP,75,78,24.3448,124.1572,71.73,13.8
241,North Platte,US,0,42,41.1239,-100.7654,58.37,5.99
242,Waipawa,NZ,94,58,-41.4122,175.5153,63.93,7.25
243,Erenhot,CN,0,65,43.6475,111.9767,27.68,13.76
244,Klaksvík,FO,100,89,62.2266,-6.589,43.72,37.45
245,Mahon,ES,75,93,39.8885,4.2658,52.36,3.44
246,Stornoway,GB,100,82,58.2093,-6.3865,46.92,17.27
247,Kwekwe,ZW,20,88,-18.9281,29.8149,61.61,5.35
248,Avarua,CK,40,79,-21.2078,-159.775,84.25,8.05
249,Lotofaga,WS,76,78,-13.9764,-171.8578,86.79,13.42
250,Khani,GE,100,80,41.9563,42.9566,49.57,6.93
251,Mahébourg,MU,66,83,-20.4081,57.7,78.26,16.11
252,Tutóia,BR,58,86,-2.7619,-42.2744,78.4,8.28
253,Vrnjačka Banja,RS,100,79,43.6167,20.9,34.83,3.89
254,Evensk,RU,81,66,61.95,159.2333,21.24,23.0
255,Bandarbeyla,SO,1,76,9.4942,50.8122,73.89,13.13
256,Dhanera,IN,0,42,24.5167,72.0167,69.24,11.39
257,Guerrero Negro,MX,100,60,27.9769,-114.0611,63.81,9.73
258,Lavrentiya,RU,27,92,65.5833,-171.0,9.66,7.56
259,Nurota,UZ,69,56,40.5614,65.6886,33.89,3.87
260,Kisangani,CD,91,97,0.5167,25.2,69.08,1.14
261,San Cristobal,VE,98,93,7.7669,-72.225,66.69,1.1
262,Shihezi,CN,100,81,44.3,86.0333,31.5,3.11
263,Itarema,BR,73,86,-2.9248,-39.9167,77.5,7.83
264,Chokurdakh,RU,82,98,70.6333,147.9167,-17.84,2.77
265,Nouadhibou,MR,0,74,20.931,-17.0347,64.94,23.6
266,Faanui,PF,48,76,-16.4833,-151.75,81.5,15.28
267,Naze,JP,1,57,28.3667,129.4833,57.9,7.58
268,Ulladulla,AU,100,90,-35.35,150.4667,75.87,12.59
269,Pangnirtung,CA,100,86,66.1451,-65.7125,6.13,1.86
270,Kavieng,PG,97,73,-2.5744,150.7967,83.16,5.26
271,Madang,PG,83,72,-5.2246,145.7966,84.67,6.71
272,Vostok,RU,98,82,46.4856,135.8833,15.22,12.88
273,Hithadhoo,MV,25,71,-0.6,73.0833,82.99,13.24
274,Lincoln,US,0,60,40.8,-96.667,57.58,20.71
275,Bereda,ES,100,100,43.2686,-7.5406,50.0,5.17
276,Wad Medani,SD,4,23,14.4012,33.5199,80.31,9.75
277,Padang,ID,77,66,-0.9492,100.3543,77.05,2.89
278,Mikumi,TZ,100,97,-7.4041,36.9831,69.33,1.23
279,Manche,FR,100,96,49.0,-1.1667,45.81,4.61
280,Jeypore,IN,90,32,18.85,82.5833,77.74,2.08
281,Poum,NC,100,75,-20.2333,164.0167,81.68,8.75
282,Ambilobe,MG,100,96,-13.2,49.05,74.26,4.9
283,Yuci,CN,0,17,37.6803,112.7319,42.55,4.47
284,Malya,TZ,12,85,-2.9833,33.5167,62.98,2.73
285,Santa Isabel,BR,69,79,-23.3156,-46.2214,75.65,1.3
286,Aloleng,PH,73,63,16.1307,119.7824,83.84,8.9
287,Mopipi,BW,100,83,-21.1833,24.8833,71.19,4.54
288,Lagoa,PT,93,56,39.05,-27.9833,57.54,6.13
289,Touros,BR,95,80,-5.1989,-35.4608,79.7,8.75
290,Chapada dos Guimarães,BR,100,92,-15.4606,-55.7497,64.06,4.03
291,Grand Gaube,MU,18,92,-20.0064,57.6608,78.39,3.0
292,Ushtobe,KZ,97,86,45.2514,77.9838,40.41,3.65
293,Ukiah,US,20,55,39.1502,-123.2078,59.02,1.01
294,Shubarshi,KZ,16,90,48.5872,57.1869,9.1,6.49
295,Belmonte,BR,87,87,-15.8631,-38.8828,79.3,5.03
296,Nianzishan,CN,8,58,47.5167,122.8833,25.02,9.98
297,Vallenar,CL,0,57,-28.5708,-70.7581,68.68,2.95
298,San Andrés,CO,100,88,12.5847,-81.7006,77.02,12.66
299,Olinda,BR,40,78,-8.0089,-34.8553,82.13,5.75
300,Santa Ana,US,20,47,33.7456,-117.8678,75.79,5.75
301,Aklavik,CA,37,98,68.2191,-135.0107,-3.37,9.4
302,Severo-Kuril'sk,RU,94,60,50.6789,156.125,25.16,32.39
303,Eydhafushi,MV,82,60,5.1033,73.0708,82.6,9.64
304,Omsukchan,RU,100,91,62.5333,155.8,2.82,6.64
305,Lac du Bonnet,CA,24,100,50.2536,-96.0612,-17.86,4.18
306,Meïganga,CM,99,25,6.5167,14.3,67.77,2.39
307,Shitanjing,CN,36,22,39.2342,106.3439,39.56,27.78
308,Arraias,BR,65,89,-12.9288,-46.9437,67.24,2.46
309,Nantucket,US,0,70,41.2835,-70.0995,35.96,3.44
310,Vanavara,RU,100,89,60.34,102.2797,8.46,12.19
311,Jieshi,CN,39,72,22.8134,115.8257,73.94,16.87
312,Eidfjord,NO,8,85,60.4675,7.0719,26.6,7.58
313,Fort Nelson,CA,83,99,58.8053,-122.7002,0.54,0.54
314,Qaqortoq,GL,100,86,60.7167,-46.0333,23.5,9.1
315,Umluj,SA,4,71,25.0213,37.2685,74.39,6.26
316,Ciudad Bolivar,VE,10,71,8.1222,-63.5497,80.51,13.69
317,Içara,BR,100,99,-28.7133,-49.3,71.35,1.97
318,São Filipe,CV,0,70,14.8961,-24.4956,72.1,14.85
319,Srednekolymsk,RU,100,91,67.45,153.6833,-1.25,9.98
320,Saint-Augustin,CA,100,96,51.226,-58.6502,22.1,9.35
321,Whitehorse,CA,99,97,60.7161,-135.0538,17.31,4.14
322,Omboué,GA,100,85,-1.5746,9.2618,79.41,2.89
323,Dushanbe,TJ,17,61,38.5577,68.7797,42.62,2.24
324,Churintzio,MX,68,44,20.15,-102.0667,61.84,3.74
325,São Gabriel da Cachoeira,BR,99,98,-0.1303,-67.0892,72.05,1.1
326,Sørland,NO,100,63,67.667,12.6934,37.78,11.18
327,Deputatsky,RU,99,96,69.3,139.9,-13.77,3.36
328,Soyo,AO,98,88,-6.1349,12.3689,79.81,3.78
329,Cururupu,BR,28,94,-1.8283,-44.8683,74.34,2.21
330,Solnechnyy,RU,89,70,50.7214,136.6319,15.91,2.3
331,Springdale,US,0,42,36.1867,-94.1288,60.93,6.91
332,Slave Lake,CA,98,93,55.2834,-114.769,16.77,8.37
333,Arrondissement d'Arcachon,FR,100,100,44.5875,-1.0519,45.41,2.3
334,Inírida,CO,94,97,3.8653,-67.9239,73.83,1.43
335,Rognan,NO,100,86,67.0953,15.3878,35.74,3.42
336,Marana,US,0,22,32.4367,-111.2254,77.07,5.75
337,Alofi,NU,47,76,-19.0595,-169.9187,82.29,11.25
338,Kupang,ID,29,82,-10.1667,123.5833,83.12,9.84
339,Bariadi,TZ,22,80,-2.8,33.9833,62.17,5.28
340,Manicoré,BR,100,98,-5.8092,-61.3003,74.03,1.54
341,Kalemie,CD,100,91,-5.9475,29.1947,67.93,6.29
342,Kozhva,RU,100,90,65.1073,57.0459,28.78,13.22
343,Tocopilla,CL,13,71,-22.092,-70.1979,70.97,1.99
344,Kampot,KH,70,57,10.6167,104.1833,80.65,5.21
345,Isangel,VU,61,78,-19.55,169.2667,83.77,12.12
346,São João da Barra,BR,2,90,-21.6403,-41.0511,76.21,12.68
347,Okha,RU,87,84,53.5739,142.9478,4.95,13.4
348,La Sarre,CA,100,92,48.8002,-79.1996,-2.22,10.71
349,Inongo,CD,89,84,-1.95,18.2667,72.7,4.65
350,Kyren,RU,89,59,51.6828,102.1408,17.8,9.93
351,Şahbuz,AZ,100,84,39.4072,45.5739,44.2,1.68
352,Acaraú,BR,76,86,-2.8856,-40.12,77.76,8.01
353,Alyangula,AU,94,65,-13.8483,136.4192,86.95,5.08
354,Lata,PT,100,90,40.1629,-8.3327,55.81,3.8
355,Acapulco de Juárez,MX,0,78,16.8634,-99.8901,78.62,4.61
356,Edewecht,DE,93,91,53.1333,7.9833,32.25,7.07
357,San Patricio,US,100,83,28.017,-97.5169,62.46,6.96
358,Ossora,RU,100,90,59.2353,163.0719,25.86,26.64
359,Muncie,US,100,76,40.1934,-85.3864,54.48,4.61
360,Urucará,BR,78,87,-2.5364,-57.76,74.64,1.54
361,La Ronge,CA,7,100,55.1001,-105.2842,-10.88,4.79
362,Camp Verde,US,67,29,34.5636,-111.8543,67.12,3.56
363,Shimoda,JP,30,44,34.6667,138.95,52.11,19.08
364,Brigantine,US,0,76,39.4101,-74.3646,45.05,8.05
365,Port-Cartier,CA,100,78,50.0334,-66.8654,11.75,11.81
366,Meulaboh,ID,69,72,4.1363,96.1285,82.38,2.71
367,Malakal,SS,89,41,9.5334,31.6605,82.4,3.0
368,Sfântu Gheorghe,RO,98,95,45.8667,25.7833,30.92,3.13
369,Winneba,GH,61,83,5.3511,-0.6231,77.13,7.65
370,Buchanan,LR,100,89,5.8808,-10.0467,73.36,4.34
371,Ust-Tsilma,RU,95,90,65.441,52.1498,29.7,11.1
372,Dhidhdhoo,MV,76,58,6.8833,73.1,82.67,6.06
373,Tilichiki,RU,70,74,60.4667,166.1,19.85,10.11
374,Portobelo,PA,78,88,9.55,-79.65,76.82,12.17
375,Pandan,PH,61,81,14.0453,124.1694,81.1,14.32
376,Urengoy,RU,100,96,65.9667,78.3667,-1.25,3.15
377,Saint-Paul,RE,8,77,-21.0096,55.2707,75.31,0.85
378,Ilhabela,BR,88,79,-23.7781,-45.3581,78.98,2.17
379,Gigmoto,PH,68,83,13.7796,124.39,80.38,12.73
380,San Jose,US,100,51,37.3394,-121.895,63.28,9.22
381,Mahibadhoo,MV,100,64,3.7833,72.9667,82.87,13.22
382,Jati,PK,0,46,24.3539,68.2671,69.44,13.73
383,Bela,IN,0,36,25.9333,81.9833,69.96,2.44
384,Djambala,CG,91,88,-2.5447,14.7533,68.94,1.3
385,Namatanai,PG,99,65,-3.6667,152.4333,85.75,3.36
386,Maceió,BR,20,88,-9.6658,-35.7353,78.24,2.3
387,Hambantota,LK,40,94,6.1241,81.1185,77.34,8.05
388,Oranjestad,AW,57,87,12.524,-70.027,78.91,20.83
389,Baharly,TM,10,47,38.4362,57.4316,56.01,5.3
390,Flinders,AU,93,90,-34.5833,150.8552,76.37,5.99
391,Cedar City,US,0,46,37.6775,-113.0619,49.17,4.61
392,Port Hardy,CA,40,81,50.6996,-127.4199,43.75,3.44
393,Maragogi,BR,21,83,-9.0122,-35.2225,78.66,5.17
394,Portland,US,100,96,45.5234,-122.6762,52.11,1.01
395,Bambanglipuro,ID,100,70,-7.95,110.2833,83.75,9.69
396,Todos Santos,MX,27,72,23.45,-110.2167,73.2,2.08
397,Fairbanks,US,100,79,64.8378,-147.7164,28.31,4.61
398,San Quintín,MX,100,58,30.4833,-115.95,62.28,2.42
399,Glendive,US,100,100,47.1053,-104.7125,28.02,13.8
400,San Jose de Guanipa,VE,16,70,8.8872,-64.1651,78.64,12.68
401,Ust-Nera,RU,100,93,64.5667,143.2,2.86,4.09
402,Cherdyn',RU,85,98,60.403,56.4787,19.26,3.91
403,Katsuura,JP,49,63,35.1333,140.3,51.91,2.13
404,Bend,US,100,86,44.0582,-121.3153,45.57,6.91
405,Ixtapa,MX,0,78,20.7,-105.2,72.63,1.01
406,Borzya,RU,100,81,50.3833,116.5167,12.96,4.27
407,Paamiut,GL,100,90,61.994,-49.6678,16.84,9.84
408,Thinadhoo,MV,40,67,0.5333,72.9333,82.69,12.62
409,Richmond,US,20,68,37.5538,-77.4603,53.06,4.61
410,Skellefteå,SE,1,59,64.7507,20.9528,30.56,13.8
